ISO3,GeographyName,Year,PeopleLivingWithHIV
AFG,Afghanistan,2022,12298
AGO,Angola,2022,313656
ARM,Armenia,2022,5915
AZE,Azerbaijan,2022,10628
BDI,Burundi,2022,80461
BEN,Benin,2022,72290
BFA,Burkina Faso,2022,97344
BGD,Bangladesh,2022,15881
BLR,Belarus,2022,27045
BLZ,Belize,2022,3682
BOL,Bolivia (Plurinational State),2022,29506
BTN,Bhutan,2022,1118
BWA,Botswana,2022,343912
CAF,Central African Republic,2022,124732
CIV,Cote d'Ivoire,2022,407595
CMR,Cameroon,2022,480228
COD,Congo (Democratic Republic),2022,489834
COG,Congo,2022,144325
COL,Colombia,2022,189588
COM,Comoros,2022,117
CPV,Cabo Verde,2022,3622
CRI,Costa Rica,2022,16784
CUB,Cuba,2022,42012
DOM,Dominican Republic,2022,79228
DZA,Algeria,2022,27968
ECU,Ecuador,2022,47701
EGY,Egypt,2022,33784
ERI,Eritrea,2022,12347
ETH,Ethiopia,2022,610349
FJI,Fiji,2022,2039
GAB,Gabon,2022,48614
GEO,Georgia,2022,8458
GHA,Ghana,2022,354927
GIN,Guinea,2022,126134
GMB,Gambia,2022,26068
GNB,Guinea-Bissau,2022,34437
GNQ,Equatorial Guinea,2022,71585
GTM,Guatemala,2022,30995
GUY,Guyana,2022,9628
HND,Honduras,2022,19541
HTI,Haiti,2022,142099
IDN,Indonesia,2022,540568
IND,India,2022,2466975
IRN,Iran (Islamic Republic),2022,45632
IRQ,Iraq,2022,3985
JAM,Jamaica,2022,29635
JOR,Jordan,2022,643
KEN,Kenya,2022,1377784
KGZ,Kyrgyzstan,2022,10688
KHM,Cambodia,2022,75589
LAO,Lao (Peoples Democratic Republic),2022,17383
LBN,Lebanon,2022,2644
LBR,Liberia,2022,34431
LBY,Libya,2022,7887
LKA,Sri Lanka,2022,4107
LSO,Lesotho,2022,273953
MAR,Morocco,2022,21429
MDA,Moldova,2022,16041
MDG,Madagascar,2022,69668
MDV,Maldives,2022,60
MKD,North Macedonia,2022,599
MLI,Mali,2022,119326
MMR,Myanmar,2022,280230
MNE,Montenegro,2022,409
MNG,Mongolia,2022,633
MOZ,Mozambique,2022,2431530
MRT,Mauritania,2022,8332
MWI,Malawi,2022,1006632
MYS,Malaysia,2022,86142
NAM,Namibia,2022,215348
NER,Niger,2022,33854
NIC,Nicaragua,2022,11838
NPL,Nepal,2022,30001
PAK,Pakistan,2022,269244
PER,Peru,2022,105795
PHL,Philippines,2022,164408
PNG,Papua New Guinea,2022,72140
PRY,Paraguay,2022,21079
ROU,Romania,2022,20413
RWA,Rwanda,2022,233660
SDN,Sudan,2022,41042
SEN,Senegal,2022,41529
SLE,Sierra Leone,2022,76604
SLV,El Salvador,2022,22699
SRB,Serbia,2022,3841
SSD,South Sudan,2022,164450
STP,Sao Tome and Principe,2022,1111
SUR,Suriname,2022,7187
SWZ,Eswatini,2022,223386
SYR,Syrian Arab Republic,2022,660
TCD,Chad,2022,115670
TGO,Togo,2022,106235
THA,Thailand,2022,561578
TJK,Tajikistan,2022,15183
TLS,Timor-Leste,2022,1459
TUN,Tunisia,2022,7086
TZA,Tanzania (United Republic),2022,1711095
UGA,Uganda,2022,1433337
VEN,Venezuela,2022,92058
VNM,Viet Nam,2022,249790
YEM,Yemen,2022,9527
ZAF,South Africa,2022,7596574
ZMB,Zambia,2022,1411138
ZWE,Zimbabwe,2022,1310438
